feature,importance_mean,importance_std
density_matrix (g/mL),0.7088847927933315,0.08809180810654595
T_K,0.6924557373598199,0.07954779234451316
dopant_B,0.16924053876646852,0.020569397016197127
xA_mol,0.07519956069801885,0.014585848928514803
xB_mol,0.01801776692819428,0.0027989685205597305
xV_mol,0.0030136704646094637,0.00043796207120983444
dopant_A,0.00196479430286855,0.0005547018820953627
