iter	RMSE
0	1.370414348
1	1.342645149
2	1.315401974
3	1.292704335
4	1.268147307
5	1.24818985
6	1.219119867
7	1.200694162
8	1.177520559
9	1.160301482
10	1.140706626
11	1.120830865
12	1.100289231
13	1.082316631
14	1.064899928
15	1.050439081
16	1.029924356
17	1.009130186
18	0.9923419049
19	0.9750818041
20	0.9555333048
21	0.9414882973
22	0.9268922891
23	0.9125162038
24	0.8958502102
25	0.8771806368
26	0.8582148845
27	0.8429107413
28	0.827910367
29	0.8136613618
30	0.7990968482
31	0.7821396195
32	0.765604997
33	0.7521517053
34	0.7407512665
35	0.7305544446
36	0.7168606362
37	0.7047429151
38	0.6928079942
39	0.6841716633
40	0.6777903625
41	0.6669025235
42	0.6539117145
43	0.640756201
44	0.6337311106
45	0.6236839911
46	0.6109647274
47	0.5988812783
48	0.5884170381
49	0.5776347687
50	0.5679375582
51	0.560639552
52	0.5533531862
53	0.5480630287
54	0.5390979808
55	0.5302059266
56	0.5223407217
57	0.5112551894
58	0.5031442721
59	0.4931955726
60	0.4850353331
61	0.4776206913
62	0.4682260201
63	0.4627234245
64	0.4562801113
65	0.4478468725
66	0.4424135193
67	0.4367563044
68	0.4297414579
69	0.4232724228
70	0.4166780882
71	0.4120134096
72	0.4044625565
73	0.3987152101
74	0.3905607861
75	0.3826248287
76	0.3768190879
77	0.3709521299
78	0.3636953049
79	0.357327746
80	0.351345932
81	0.3451145627
82	0.3390281866
83	0.3327970802
84	0.3267524784
85	0.3214363571
86	0.3169075164
87	0.3117127104
88	0.3061136449
89	0.3010462301
90	0.2960135777
91	0.2907716968
92	0.2860979304
93	0.2810612758
94	0.2757997851
95	0.2705551814
96	0.2653810552
97	0.2608604785
98	0.2562693648
99	0.2517448892
100	0.2480619406
101	0.2444783428
102	0.2402023691
103	0.2358473262
104	0.2314993924
105	0.2276048104
106	0.2234547043
107	0.2196023786
108	0.2158002231
109	0.2120290946
110	0.208637027
111	0.2059000014
112	0.2023552175
113	0.1992689537
114	0.1966592072
115	0.1932757914
116	0.1901833063
117	0.1870180268
118	0.1842824011
119	0.1811528254
120	0.1785516151
121	0.1759052762
122	0.1734354546
123	0.1706352567
124	0.1677993643
125	0.1652760483
126	0.1629236441
127	0.1605479241
128	0.1578781787
129	0.1551279295
130	0.1530617137
131	0.1510494487
132	0.148979274
133	0.1469539008
134	0.1449041485
135	0.1428925348
136	0.1407496167
137	0.1389564958
138	0.136932271
139	0.1352399042
140	0.1333406572
141	0.1315367564
142	0.1294307489
143	0.1277157568
144	0.1258347102
145	0.1240897902
146	0.122570914
147	0.1207737504
148	0.1191006413
149	0.1174679346
150	0.1156564349
151	0.114239143
152	0.1131320477
153	0.1120667698
154	0.1104596356
155	0.1091182857
156	0.1078349192
157	0.1062423479
158	0.1047983454
159	0.1038383917
160	0.1028793342
161	0.1019146515
162	0.10100282
163	0.09965528786
164	0.09818643778
165	0.09676542286
166	0.0954916205
167	0.09434564605
168	0.09327586836
169	0.09195921834
170	0.09069104537
171	0.08978741523
172	0.08855076004
173	0.08768191928
174	0.08655439421
175	0.08559617021
176	0.08477047161
177	0.08363154713
178	0.0827617032
179	0.08212758312
180	0.08135537691
181	0.0803439394
182	0.07928877378
183	0.07879676539
184	0.07831539615
185	0.07784443585
186	0.07706176277
187	0.07612577226
188	0.07515475349
189	0.07420674992
190	0.07377110911
191	0.07290462466
192	0.0720152372
193	0.0711517701
194	0.07073965743
195	0.0699385135
196	0.06933132445
197	0.06894438228
198	0.06824890963
199	0.06749928781
200	0.06683783914
201	0.06627339971
202	0.06563562847
203	0.06509346198
204	0.0644785381
205	0.06389254347
206	0.0631156444
207	0.06253401442
208	0.06220343159
209	0.06161838524
210	0.06094313618
211	0.060380284
212	0.05976719879
213	0.05907236294
214	0.05848569091
215	0.05795545324
216	0.05748159146
217	0.05686456646
218	0.05646280161
219	0.05574485836
220	0.05516418942
221	0.05478271907
222	0.054104478
223	0.0535580997
224	0.05322396804
225	0.0525835235
226	0.05220271155
227	0.05152537872
228	0.05094968587
229	0.0505356296
230	0.05018276581
231	0.0496341641
232	0.04909963668
233	0.0487042343
234	0.0483895811
235	0.04806476515
236	0.04774882573
237	0.04724897894
238	0.04676624523
239	0.04646682263
240	0.04600439819
241	0.04571803628
242	0.04547000319
243	0.04522708684
244	0.04492003564
245	0.04466511512
246	0.04427558699
247	0.04393468338
248	0.04360339913
249	0.04320742295
250	0.04296877848
251	0.04268196184
252	0.042449249
253	0.04216818541
254	0.04189298135
255	0.04162352679
256	0.04123915663
257	0.04087876041
258	0.04052770871
259	0.04018572662
260	0.03992500863
261	0.03959527578
262	0.03934381755
263	0.03895520825
264	0.03863943703
265	0.03846274534
266	0.03827306527
267	0.03800832025
268	0.0377503459
269	0.03758380531
270	0.03733552161
271	0.0371756337
272	0.03689667333
273	0.03666014016
274	0.03650751001
275	0.03629656348
276	0.03607803953
277	0.03585444801
278	0.0355914515
279	0.03544833988
280	0.03524442133
281	0.03504556195
282	0.03479376839
283	0.03460143648
284	0.03441387425
285	0.03423096252
286	0.0339905124
287	0.03381356911
288	0.03364101397
289	0.03347273814
290	0.03313525233
291	0.03297153569
292	0.03274748341
293	0.03258907408
294	0.03242489049
295	0.03226501895
296	0.03211709863
297	0.0318896922
298	0.03168749687
299	0.03137265167
300	0.03117826841
301	0.03104268364
302	0.030890952
303	0.03070267229
304	0.03055397349
305	0.03036998382
306	0.03022424486
307	0.03004444797
308	0.02990159933
309	0.02972590091
310	0.0295858763
311	0.02927388343
312	0.02910470792
313	0.02896721869
314	0.02880189239
315	0.0286671105
316	0.02850554889
317	0.02821020283
318	0.02807782707
319	0.02791349394
320	0.02778366875
321	0.02762314982
322	0.02749582459
323	0.02721270257
324	0.02705750435
325	0.02693260601
326	0.02681088227
327	0.02665852938
328	0.0265391372
329	0.02639034842
330	0.0261209115
331	0.02600376714
332	0.02585992735
333	0.02574503121
334	0.02560456984
335	0.02549752346
336	0.02525241097
337	0.02503195812
338	0.02478098585
339	0.02467238198
340	0.0245387638
341	0.02443710767
342	0.02421566265
343	0.02408705777
344	0.02385092946
345	0.02374570449
346	0.02363244233
347	0.0235312765
348	0.02343002013
349	0.02331866215
350	0.02322343094
351	0.02301568224
352	0.02279352299
353	0.02268708247
354	0.02259351708
355	0.02249847486
356	0.02239396233
357	0.02230374441
358	0.02210625785
359	0.02201745361
360	0.02191628979
361	0.0218249955
362	0.02162683416
363	0.02153717217
364	0.02143849217
365	0.02123615115
366	0.02108083462
367	0.02090197365
368	0.02080870919
369	0.02071791459
370	0.02052633883
371	0.02039543603
372	0.02025210452
373	0.02016648382
374	0.02007928096
375	0.01999519234
376	0.01983079227
377	0.01974663672
378	0.01966343428
379	0.01958202814
380	0.01946542158
381	0.01938528958
382	0.01930405549
383	0.01922536211
384	0.01906780718
385	0.01896493633
386	0.01888791436
387	0.01871741201
388	0.01857941089
389	0.01850564925
390	0.01835857582
391	0.01817343564
392	0.01809142743
393	0.01802776406
394	0.0179487457
395	0.01783579218
396	0.01775933347
397	0.01765012433
398	0.01757630843
399	0.01744127316
400	0.01736825609
401	0.01729926131
402	0.01725499629
403	0.01712536548
404	0.01705836209
405	0.0169359061
406	0.01683500405
407	0.01677056652
408	0.01667221359
409	0.01660283058
410	0.01654092674
411	0.01644458399
412	0.0163841708
413	0.01625976268
414	0.01620198416
415	0.01614457814
416	0.01604423277
417	0.01594942029
418	0.0158939449
419	0.01580153865
420	0.01567299518
421	0.01560149698
422	0.01554730029
423	0.01541441435
424	0.01529358027
425	0.01522520957
426	0.0151728884
427	0.01510432559
428	0.01505202864
429	0.01498601516
430	0.01493554639
431	0.01486937064
432	0.01473366045
433	0.01466958768
434	0.01462096359
435	0.01455674983
436	0.01442515407
437	0.01436297041
438	0.01431612214
439	0.01425503757
440	0.01414674454
441	0.01408601441
442	0.0140403719
443	0.01398198974
444	0.01386111166
445	0.0137596692
446	0.01371562248
447	0.01365880254
448	0.01353470574
449	0.01347862074
450	0.01343619948
451	0.01337095616
452	0.0133296907
453	0.01326591124
454	0.01315339546
455	0.01307830488
456	0.01303881558
457	0.01300054258
458	0.01291053753
459	0.01284869102
460	0.01278836878
461	0.01275116658
462	0.01264134306
463	0.01257351867
464	0.01252722481
465	0.01246334522
466	0.01242826802
467	0.01237085879
468	0.01232920581
469	0.01223947108
470	0.01220080598
471	0.01209029127
472	0.01205830914
473	0.01199612419
474	0.01193290494
475	0.01189149958
476	0.01183631226
477	0.0117353031
478	0.01170162647
479	0.01167089763
480	0.01161057327
481	0.01155797359
482	0.01152068448
483	0.01146937811
484	0.01141864566
485	0.01131266215
486	0.01124132669
487	0.01119384401
488	0.01112351281
489	0.01106897135
490	0.01098867344
491	0.01096445319
492	0.01091197918
493	0.01085087922
494	0.01076711329
495	0.0107105572
496	0.01068700226
497	0.01066415262
498	0.0106090306
499	0.01058672509
500	0.01056508604
501	0.01049516646
502	0.01041154778
503	0.01039054543
504	0.01037016911
505	0.01029854006
506	0.01021931008
507	0.01020656014
508	0.01014301503
509	0.01010700813
510	0.01007011226
511	0.01003478164
512	0.01000024324
513	0.009988020493
514	0.009954211105
515	0.009938239467
516	0.009905120166
517	0.009889583851
518	0.009857142208
519	0.009805587108
520	0.00974906242
521	0.009694449586
522	0.009641686411
523	0.00959071253
524	0.0095605625
525	0.009537868587
526	0.009508379455
527	0.009473572885
528	0.009444702389
529	0.009416531913
530	0.009394810517
531	0.009367257127
532	0.009269864329
533	0.009244298114
534	0.009217355299
535	0.009205971391
536	0.009179623483
537	0.009131090878
538	0.009117990585
539	0.009023751178
540	0.008947786767
541	0.008930523619
542	0.008868040924
543	0.008851248388
544	0.008825791062
545	0.008814411431
546	0.008803363809
547	0.008778465265
548	0.008705541053
549	0.008634815834
550	0.008566224315
551	0.008499703321
552	0.008438613332
553	0.008383627406
554	0.00833032086
555	0.008268153328
556	0.008212339628
557	0.008172071599
558	0.008123167859
559	0.008097319107
560	0.008072057106
561	0.00802528866
562	0.008000467864
563	0.007976210742
564	0.007957552484
565	0.007933781891
566	0.007898475941
567	0.007840320555
568	0.007783927514
569	0.007747432702
570	0.007698576415
571	0.007663791397
572	0.007621239664
573	0.007568721843
574	0.007535982308
575	0.007485436572
576	0.007441925173
577	0.007422217252
578	0.007373344794
579	0.00733168199
580	0.007289395806
581	0.007248118558
582	0.007200980431
583	0.007160921724
584	0.007115652471
585	0.007075450376
586	0.007031357587
587	0.006991644833
588	0.006952768498
589	0.006915305553
590	0.006872738651
591	0.006831478057
592	0.006793406749
593	0.006752628368
594	0.006713520534
595	0.006674839588
596	0.006634819517
597	0.006592144192
598	0.006556762192
599	0.006518864386
600	0.006484208433
601	0.006446024418
602	0.006412076715
603	0.00637492725
604	0.006338929728
605	0.006303727059
606	0.006271422493
