feature,importance_mean,importance_std
T_K,0.7157524416480426,0.07656627450719408
density_matrix (g/mL),0.48140881045066075,0.06023163243765804
dopant_B,0.17781090206055356,0.026313147170822233
xV_mol,0.0667169362136073,0.010805665931345836
xA_mol,0.0308033476871594,0.005018316085647408
xB_mol,0.02562795734589719,0.00426159225309189
dopant_A,0.011171242881411437,0.0013759835770944958
